Power(watts),Distance(metres),Heartrate(BPM),Speed(m/s),WindSpeed (m/s),Cadaence(revs/s),Elevation(meters),Hill slope(%),Temperature(C),Cluster
0,0,57,1.4305,1.6093,0,55.778,-2.85,25.556,C
0,0,57,1.654,2.9505,0,55.778,-4.4,25.556,C
0,0,57,2.5034,3.174,0,55.778,-5.85,25.556,C
0,16.093,61,2.5034,3.8445,0,55.778,-6.3,25.556,C
0,16.093,62,2.5481,3.2187,0,55.778,-5.62,25.556,C
0,16.093,64,2.5481,4.381,0,55.778,-4.75,25.556,C
0,16.093,65,2.6822,4.4704,0.26667,55.778,-3.45,25.556,C
19.51,16.093,68,2.8163,4.1128,0.51667,55.169,-2.14,25.556,C
48.47,16.093,69,3.1293,3.8445,0.6,55.169,-1.62,25.556,C
70.79,32.187,71,3.5316,3.8445,0.66667,55.169,-0.69,25.556,C
91.38,32.187,75,3.8892,4.0233,0.75,55.169,-0.3,25.556,C
100.72,32.187,76,4.2022,4.7833,0.8,55.169,-0.29,25.556,C
106.93,32.187,79,4.4257,4.2022,0.81667,55.169,-0.05,25.556,C
112.86,48.28,80,4.5151,3.7551,0.9,55.169,0.69,25.556,C
117.97,48.28,83,4.6045,3.8892,0.93333,55.169,0.83,25.556,C
98.55,48.28,83,4.7833,3.0846,0.71667,55.169,0.87,25.556,C
0,64.374,84,4.6492,2.861,0,55.169,1.29,25.556,C
0,64.374,84,4.4257,3.0846,0,55.169,1.3,25.556,C
43.77,64.374,84,4.4704,3.7998,0.43333,55.169,1.59,25.556,C
82.79,64.374,85,4.6939,3.621,0.91667,55.169,1.87,25.556,C
98.74,80.467,85,4.828,3.3081,0.93333,55.169,1.84,25.556,C
86.58,80.467,85,4.828,3.0399,0.95,55.169,1.59,25.556,C
102.14,80.467,85,4.7833,3.2634,0.98333,55.169,1.73,25.556,C
115.68,96.56,86,4.8727,3.8445,1.0167,55.474,1.65,25.556,C
123.68,96.56,86,5.0068,4.3363,1.0333,55.474,1.68,25.556,C
114.62,96.56,87,5.0068,4.2469,1.05,55.474,1.81,25.556,C
73.01,96.56,88,5.0068,3.9786,0.85,55.474,1.22,25.556,C
0,112.65,89,4.7386,3.8892,0.2,55.778,1.34,25.556,C
0,112.65,89,4.4704,2.9952,0,55.778,1.54,25.556,C
0,112.65,89,4.2916,2.5928,0,55.778,1.35,25.556,C
0,128.75,89,4.0233,2.3246,0,55.778,1.86,25.556,C
0,128.75,87,3.7551,1.967,0,56.998,2.37,25.556,C
0,128.75,87,3.5316,2.0564,0,56.998,3.27,25.556,C
63.27,128.75,87,3.9339,2.414,0.75,56.998,3.97,25.556,C
40.37,144.84,87,4.381,4.7386,0.9,56.998,3.88,25.556,C
0,144.84,87,4.8727,5.9456,1,57.302,2.88,25.556,C
30.57,144.84,87,5.0515,6.0797,1.05,57.302,1.39,25.556,C
63.82,144.84,88,5.2304,5.588,1.1,57.302,0.2,25.556,C
82.97,160.93,89,5.4986,5.6327,1.15,57.302,-0.7,25.556,C
90.37,160.93,91,5.6774,5.6327,1.1833,57.302,-0.99,25.556,C
88.85,177.03,92,5.8115,5.9903,1.2,57.302,-0.98,25.556,C
89.35,177.03,92,5.9009,5.7668,1.2167,57.302,-0.87,25.556,C
88.83,177.03,93,5.9903,6.1691,1.2333,57.302,-0.66,25.556,C
84.24,193.12,93,6.035,6.3032,1.25,57.302,-0.55,25.556,C
83.57,193.12,93,6.0797,6.0797,1.2667,57.302,-0.64,25.556,C
84.73,193.12,93,6.1691,6.7503,1.2833,57.302,-0.74,25.556,C
86.95,209.21,92,6.2585,8.002,1.3,57.302,-0.74,25.556,C
94.08,209.21,92,6.3032,8.4937,1.3167,57.912,-0.73,25.556,C
93.15,225.31,92,6.3032,8.1361,1.3167,57.912,-0.53,25.556,C
101.17,225.31,91,6.2585,8.1808,1.3,57.912,-0.43,25.556,C
105.2,225.31,91,6.2585,8.8067,1.3,57.912,-0.33,25.556,C
107.18,241.4,90,6.2138,8.002,1.2833,58.217,-0.23,25.556,C
114.19,241.4,90,6.2138,7.9573,1.3,58.217,-0.43,25.556,C
117.21,257.49,90,6.2585,8.9855,1.3,58.217,-0.53,25.556,C
121.17,257.49,90,6.2138,8.9855,1.3,58.217,-0.33,25.556,C
133.16,257.49,100,6.2138,9.969,1.3,57.302,-0.43,25.556,C
141.15,273.59,100,6.2585,10.058,1.3,57.302,-0.33,25.556,C
146.08,273.59,100,6.2138,9.9243,1.3,57.302,-0.23,25.556,C
147,273.59,100,6.1691,10.014,1.2833,57.302,-0.33,25.556,C
148.97,289.68,100,6.1691,9.1643,1.2833,57.302,-0.23,25.556,C
155.89,289.68,108,6.1244,8.4937,1.2833,57.302,-0.14,25.556,C
152.84,305.77,108,6.1691,8.5384,1.2833,57.302,-0.24,25.556,C
146.78,305.77,108,6.2138,8.0914,1.2833,57.302,-0.34,25.556,C
140.76,305.77,108,6.2585,8.0914,1.3,57.302,-0.44,25.556,C
134.68,321.87,108,6.2585,7.7338,1.3,57.302,-0.54,25.556,C
132.6,321.87,108,6.3032,7.5103,1.3167,57.302,-0.44,25.556,C
129.51,337.96,108,6.348,8.4937,1.3167,57.302,-0.35,25.556,C
126.41,337.96,108,6.348,8.3596,1.3167,57.302,-0.35,25.556,C
123.25,337.96,108,6.348,9.209,1.3167,57.302,-0.25,25.556,C
120.14,354.05,108,6.348,9.2537,1.3167,57.302,-0.45,25.556,C
124.04,354.05,108,6.348,8.2255,1.3167,57.302,-0.46,25.556,C
120.91,370.15,108,6.3032,8.0914,1.3167,56.998,-0.56,25.556,C
120.81,370.15,108,6.3927,8.5831,1.3333,56.998,-0.66,25.556,C
118.68,370.15,108,6.4374,8.2255,1.35,56.998,-0.86,25.556,C
125.56,386.24,108,6.5715,10.014,1.3667,56.998,-1.27,25.556,C
121.41,386.24,108,6.6162,11.131,1.3667,56.693,-1.27,25.556,C
115.34,402.33,122,6.6162,12.249,1.3667,56.693,-1.67,25.556,C
132.19,402.33,122,6.6162,11.802,1.3667,56.693,-1.68,25.556,C
144.74,402.33,122,6.5715,11.087,1.3667,56.693,-1.46,25.556,C
130.72,418.43,122,6.5268,10.416,1.35,55.778,-1.84,25.556,C
154.47,418.43,122,6.5715,9.2537,1.3667,55.778,-1.63,25.556,C
171.29,434.52,122,6.7056,9.2984,1.4,55.778,-1.61,25.556,C
169.1,434.52,122,6.795,7.8232,1.4,55.778,-1.8,25.556,C
165.48,434.52,129,6.8844,7.7785,1.3667,55.778,-1.59,25.556,D
152.19,450.62,129,6.9738,8.5384,1.3667,55.778,-1.28,25.556,D
143.46,450.62,129,7.0632,7.5103,1.3833,55.778,-1.27,25.556,D
135.86,466.71,125,7.1079,8.002,1.3833,55.778,-1.17,25.556,D
134,466.71,126,7.1079,8.8961,1.3833,55.474,-0.86,25.556,D
125.95,482.8,126,7.1526,9.0749,1.4,55.474,-0.97,25.556,D
119.8,482.8,126,7.1526,9.3431,1.4,55.474,-1.07,25.556,D
115.59,498.9,126,7.1526,8.8067,1.4,55.474,-1.17,25.556,D
127.38,498.9,126,7.1973,7.8232,1.4,54.864,-1.28,25.556,D
125.94,498.9,126,7.1973,7.8679,1.4167,54.864,-1.19,25.556,D
120.7,514.99,126,7.242,7.7785,1.4167,54.864,-1.09,25.556,D
111.25,514.99,126,7.2867,7.1973,1.4333,54.864,-1.1,25.556,D
104.85,531.08,126,7.3761,6.8844,1.4333,54.559,-1.31,25.556,D
97.42,531.08,126,7.4208,9.6113,1.45,54.559,-1.32,25.556,D
77.96,547.18,140,7.3761,11.399,1.4333,54.559,-1.53,25.556,D
71.63,547.18,140,7.1973,11.399,1.4167,54.559,-1.23,25.556,D
90.36,563.27,140,7.1079,11.176,1.3833,53.34,-1.03,25.556,D
110.97,563.27,140,6.9738,10.64,1.3667,53.34,-1.04,25.556,D
128.77,563.27,144,6.9738,9.8349,1.3667,53.34,-1.15,25.556,D
140.61,579.36,144,7.0185,10.237,1.3667,53.34,-1.35,25.556,D
135.42,579.36,144,6.9738,10.55,1.3667,53.34,-1.35,25.556,D
132.21,595.46,144,6.8844,9.9243,1.35,53.34,-1.36,25.556,D
137.04,595.46,144,6.8397,9.8349,1.3333,53.34,-1.06,25.556,D
143.81,611.55,144,6.8397,9.3431,1.3333,53.34,-0.96,25.556,D
142.67,611.55,144,6.8397,8.9408,1.3333,53.035,-1.07,25.556,D
138.55,611.55,144,6.8844,8.2255,1.35,53.035,-1.17,25.556,D
136.43,627.64,137,6.9738,8.002,1.35,53.035,-1.27,25.556,D
129.29,627.64,132,7.0185,8.4937,1.3667,53.035,-1.47,25.556,D
116.17,643.74,132,7.1079,7.3314,1.3833,53.645,-1.48,25.556,D
109.02,643.74,127,7.0632,6.9738,1.3833,53.645,-1.28,25.556,D
88.88,659.83,127,7.0632,7.555,1.2333,53.645,-1.18,25.556,D
0.73,659.83,127,6.9291,7.0632,0.48333,53.645,-0.99,25.556,D
0,659.83,127,6.3927,7.242,0,53.645,-1.49,25.556,C
0,675.92,127,5.4986,6.8397,0,53.645,-1.79,25.556,C
0,675.92,121,4.6492,7.5997,0,53.645,-1.59,25.556,C
18.18,675.92,121,4.6939,8.3149,0.46667,53.645,-1.79,25.556,C
90.08,692.02,117,5.0068,8.0467,1,53.035,-1.4,25.556,C
199.94,692.02,110,5.6774,7.5997,1.1,53.035,-1,25.556,C
176.78,692.02,108,6.035,7.9573,1.1667,53.035,-1.31,25.556,C
170.72,708.11,108,6.2138,8.8514,1.2167,53.035,-1.11,25.556,C
158.51,708.11,108,6.348,9.656,1.25,53.035,-1.01,25.556,C
151.29,724.2,108,6.3927,9.2984,1.25,53.035,-1.22,25.556,C
154.03,724.2,108,6.5268,8.8514,1.2667,53.035,-1.22,25.556,C
153.76,724.2,108,6.6162,8.2255,1.3,53.035,-1.23,25.556,C
142.47,740.3,106,6.6609,8.4043,1.3,52.73,-1.33,25.556,C
142.17,740.3,104,6.7056,8.2702,1.3167,52.73,-1.24,25.556,C
140.85,756.39,102,6.795,8.1361,1.3333,52.73,-1.04,25.556,C
135.56,756.39,101,6.795,8.3596,1.3333,52.73,-0.85,25.556,C
132.23,772.48,99,6.8397,8.5831,1.3333,52.121,-0.76,25.556,C
120.94,772.48,99,6.8397,10.103,1.3333,52.121,-0.86,25.556,C
114.64,772.48,99,6.8844,9.1196,1.35,52.121,-1.17,25.556,C
119.2,788.58,99,6.9291,8.7173,1.35,52.121,-1.28,25.556,C
116.94,788.58,99,6.9291,8.8961,1.3667,51.511,-1.48,25.556,C
112.7,804.67,99,6.9291,8.8961,1.35,51.511,-1.39,25.556,C
122.46,804.67,98,6.9291,8.762,1.35,51.511,-1.09,25.556,C
117.2,820.76,98,6.9738,8.9408,1.3667,51.511,-1.19,25.556,C
127.72,820.76,97,7.0185,9.1196,1.35,50.902,-1,25.556,C
122.54,820.76,97,6.9738,9.0302,1.35,50.902,-1.01,25.556,C
120.36,836.86,97,6.9291,8.2255,1.35,50.902,-1.01,25.556,C
111.15,836.86,97,6.9291,9.0749,1.35,50.902,-0.92,25.556,C
112.98,852.95,97,6.8844,9.209,1.35,50.597,-1.02,25.556,C
122.78,852.95,96,6.8844,8.1808,1.35,50.597,-1.02,25.556,C
131.44,869.04,96,6.9738,7.5997,1.3667,50.597,-1.03,25.556,C
139.21,869.04,96,7.0185,8.2255,1.3833,50.597,-1.03,25.556,C
135.94,869.04,96,7.1079,8.8514,1.3833,49.987,-0.94,25.556,C
118.76,885.14,96,7.1079,9.0302,1.4,49.987,-1.14,25.556,C
114.59,885.14,105,7.1079,8.4937,1.3833,49.987,-1.04,25.556,C
109.42,901.23,105,7.1079,9.656,1.3833,49.987,-1.05,25.556,C
100.54,901.23,105,6.9738,9.2984,1.3667,49.378,-0.95,25.556,C
99.4,917.32,103,6.9738,9.4772,1.3667,49.378,-0.95,25.556,C
108.26,917.32,103,6.9738,9.2537,1.3667,49.378,-1.45,25.556,C
117.09,933.42,103,7.0185,8.4043,1.3833,49.378,-1.36,25.556,C
121.96,933.42,103,7.0185,9.0302,1.3833,49.378,-1.46,25.556,C
117.84,933.42,103,7.0185,8.9855,1.3667,49.378,-1.46,25.556,C
115.72,949.51,102,7.0185,10.55,1.3667,49.378,-1.06,25.556,C
127.67,949.51,102,6.9738,9.1196,1.3667,49.378,-0.76,25.556,C
134.63,965.6,102,6.9291,9.2984,1.35,48.768,-0.67,25.556,C
139.58,965.6,102,6.8844,10.148,1.3333,48.768,-0.47,25.556,C
146.6,981.7,100,6.795,8.8067,1.3333,48.768,-0.17,25.556,C
150.58,981.7,98,6.7503,8.0914,1.3167,48.768,-0.07,25.556,C
154.5,981.7,98,6.7503,10.014,1.3167,48.768,-0.27,25.556,C
143.32,997.79,98,6.8397,10.014,1.3333,48.768,-0.58,25.556,C
152.14,997.79,98,6.9291,9.3878,1.35,48.768,-0.88,25.556,C
155.14,1013.9,98,6.8844,8.6279,1.35,48.768,-1.08,25.556,C
162.02,1013.9,98,6.9291,9.2984,1.3667,48.158,-0.98,25.556,C
151.02,1030,97,6.8844,9.5666,1.35,48.158,-0.58,25.556,C
147.03,1030,97,6.8397,9.2984,1.3333,48.158,-0.38,25.556,C
149.98,1030,97,6.8397,9.969,1.3333,48.158,-0.38,25.556,C
151.95,1046.1,97,6.795,9.0749,1.3333,48.158,-0.28,25.556,C
157.89,1046.1,97,6.795,8.6279,1.3333,48.158,-0.18,25.556,C
152.83,1062.2,97,6.795,9.5219,1.3167,48.158,-0.29,25.556,C
154.7,1062.2,102,6.8397,9.7454,1.3333,48.158,-0.49,25.556,C
161.51,1062.2,102,6.9291,9.209,1.3667,48.158,-0.69,25.556,C
164.3,1078.3,102,7.0185,9.0749,1.3667,48.158,-0.99,25.556,C
